protein_id,seg_i,seg_j,seg_type_i,seg_type_j,seg_end_i,seg_end_j,emergence_gap_residues,emergence_gap_seconds
F01,0,2,B,A,10,53,43,2.58
F01,0,3,B,A,10,68,58,3.48
F01,0,4,B,B,10,85,75,4.5
F01,1,2,A,A,23,53,30,1.7999999999999998
F01,1,3,A,A,23,68,45,2.6999999999999997
F01,1,4,A,B,23,85,62,3.7199999999999998
F01,2,3,A,A,53,68,15,0.8999999999999999
F01,2,4,A,B,53,85,32,1.92
F01,3,4,A,B,68,85,17,1.02
F02,0,1,A,A,20,47,27,1.6199999999999999
F02,0,2,A,A,20,71,51,3.06
F02,0,3,A,A,20,98,78,4.68
F02,0,4,A,A,20,140,120,7.199999999999999
F02,0,5,A,A,20,161,141,8.459999999999999
F02,0,12,A,B,20,356,336,20.16
F02,0,13,A,A,20,373,353,21.18
F02,1,2,A,A,47,71,24,1.44
F02,1,3,A,A,47,98,51,3.06
F02,1,4,A,A,47,140,93,5.58
F02,1,5,A,A,47,161,114,6.84
F02,1,6,A,A,47,197,150,9.0
F02,1,7,A,A,47,224,177,10.62
F02,1,8,A,A,47,269,222,13.32
F02,1,10,A,B,47,296,249,14.94
F02,1,11,A,A,47,344,297,17.82
F02,1,12,A,B,47,356,309,18.54
F02,1,13,A,A,47,373,326,19.56
F02,2,3,A,A,71,98,27,1.6199999999999999
F02,2,4,A,A,71,140,69,4.14
F02,2,5,A,A,71,161,90,5.3999999999999995
F02,2,6,A,A,71,197,126,7.56
F02,2,10,A,B,71,296,225,13.5
F02,2,11,A,A,71,344,273,16.38
F02,2,12,A,B,71,356,285,17.099999999999998
F02,2,13,A,A,71,373,302,18.12
F02,3,4,A,A,98,140,42,2.52
F02,3,5,A,A,98,161,63,3.78
F02,3,6,A,A,98,197,99,5.9399999999999995
F02,3,11,A,A,98,344,246,14.76
F02,4,5,A,A,140,161,21,1.26
F02,4,6,A,A,140,197,57,3.42
F02,4,10,A,B,140,296,156,9.36
F02,4,11,A,A,140,344,204,12.24
F02,5,6,A,A,161,197,36,2.16
F02,5,11,A,A,161,344,183,10.98
F02,5,12,A,B,161,356,195,11.7
F02,5,13,A,A,161,373,212,12.719999999999999
F02,6,7,A,A,197,224,27,1.6199999999999999
F02,6,8,A,A,197,269,72,4.32
F02,6,9,A,B,197,284,87,5.22
F02,6,10,A,B,197,296,99,5.9399999999999995
F02,6,11,A,A,197,344,147,8.82
F02,6,12,A,B,197,356,159,9.54
F02,6,13,A,A,197,373,176,10.559999999999999
F02,7,8,A,A,224,269,45,2.6999999999999997
F02,7,9,A,B,224,284,60,3.5999999999999996
F02,7,10,A,B,224,296,72,4.32
F02,7,11,A,A,224,344,120,7.199999999999999
F02,7,12,A,B,224,356,132,7.92
F02,7,13,A,A,224,373,149,8.94
F02,8,9,A,B,269,284,15,0.8999999999999999
F02,8,10,A,B,269,296,27,1.6199999999999999
F02,8,11,A,A,269,344,75,4.5
F02,8,12,A,B,269,356,87,5.22
F02,8,13,A,A,269,373,104,6.24
F02,9,10,B,B,284,296,12,0.72
F02,9,11,B,A,284,344,60,3.5999999999999996
F02,10,11,B,A,296,344,48,2.88
F02,11,13,A,A,344,373,29,1.74
F02,12,13,B,A,356,373,17,1.02
F03,0,1,B,A,13,33,20,1.2
F03,0,2,B,A,13,67,54,3.2399999999999998
F03,0,3,B,B,13,77,64,3.84
F03,0,4,B,B,13,88,75,4.5
F03,1,2,A,A,33,67,34,2.04
F03,1,3,A,B,33,77,44,2.6399999999999997
F03,1,4,A,B,33,88,55,3.3
F03,2,3,A,B,67,77,10,0.6
F03,2,4,A,B,67,88,21,1.26
F03,3,4,B,B,77,88,11,0.6599999999999999
F04,0,1,B,A,11,23,12,0.72
F04,0,2,B,A,11,62,51,3.06
F04,0,7,B,B,11,164,153,9.18
F04,0,11,B,B,11,242,231,13.86
F04,0,12,B,B,11,254,243,14.58
F04,0,13,B,B,11,265,254,15.24
F04,1,2,A,A,23,62,39,2.34
F04,1,7,A,B,23,164,141,8.459999999999999
F04,1,8,A,B,23,176,153,9.18
F04,1,10,A,B,23,224,201,12.059999999999999
F04,1,11,A,B,23,242,219,13.139999999999999
F04,1,12,A,B,23,254,231,13.86
F04,1,13,A,B,23,265,242,14.52
F04,2,3,A,A,62,83,21,1.26
F04,2,4,A,B,62,95,33,1.98
F04,2,5,A,B,62,107,45,2.6999999999999997
F04,2,6,A,A,62,146,84,5.04
F04,2,7,A,B,62,164,102,6.12
F04,2,8,A,B,62,176,114,6.84
F04,2,9,A,A,62,212,150,9.0
F04,2,10,A,B,62,224,162,9.719999999999999
F04,2,11,A,B,62,242,180,10.799999999999999
F04,2,13,A,B,62,265,203,12.18
F04,3,4,A,B,83,95,12,0.72
F04,3,5,A,B,83,107,24,1.44
F04,3,6,A,A,83,146,63,3.78
F04,3,9,A,A,83,212,129,7.739999999999999
F04,4,5,B,B,95,107,12,0.72
F04,4,6,B,A,95,146,51,3.06
F04,4,9,B,A,95,212,117,7.02
F04,5,6,B,A,107,146,39,2.34
F04,5,9,B,A,107,212,105,6.3
F04,6,7,A,B,146,164,18,1.08
F04,6,8,A,B,146,176,30,1.7999999999999998
F04,6,9,A,A,146,212,66,3.96
F04,6,10,A,B,146,224,78,4.68
F04,7,9,B,A,164,212,48,2.88
F04,7,10,B,B,164,224,60,3.5999999999999996
F04,7,11,B,B,164,242,78,4.68
F04,8,9,B,A,176,212,36,2.16
F04,8,10,B,B,176,224,48,2.88
F04,8,11,B,B,176,242,66,3.96
F04,9,10,A,B,212,224,12,0.72
F04,9,11,A,B,212,242,30,1.7999999999999998
